Particles,Noise,Tiempo
300,1.5,1054
300,1.5,837
300,1.5,1064
300,1.5,917
300,1.0,989
300,1.0,1010
300,1.0,921
300,1.0,685
300,2.5,1326
300,2.5,1577
300,2.5,1303
300,2.5,1553
300,4.0,1682
300,4.0,2002
300,4.0,1624
300,4.0,1620
300,0.0,646
300,0.0,712
300,0.0,644
300,0.0,685
300,3.0,1707
300,3.0,1411
300,3.0,1488
300,3.0,1434
300,4.5,2941
300,4.5,2874
300,4.5,3185
300,4.5,2910
300,3.5,1394
300,3.5,1555
300,3.5,1333
300,3.5,1856
300,2.0,1449
300,2.0,1093
300,2.0,1322
300,2.0,1157
300,0.5,989
300,0.5,976
300,0.5,961
300,0.5,909
