Noise,Promedio_Resultado,Desviacion_Estandar
4.0,0.1809289249408151,0.07971924855691308
4.25,0.1282448575809311,0.06032686097123789
4.5,0.09109601599141828,0.0468438436416615
4.75,0.06955251100373076,0.03644064153550703
5.0,0.05918755442094664,0.030583994851531886
0.0,0.9999999988932985,4.276687554497908e-09
0.25,0.994984992141305,0.001661438004204024
0.5,0.981564349618947,0.004950735978882075
0.75,0.9596241476437144,0.009089635913648716
1.0,0.9265460633505131,0.02114090013327693
1.25,0.896332428241734,0.019303324646073497
1.5,0.8542901220167766,0.03178840028198085
1.75,0.7785313677652652,0.05901774865183323
2.0,0.7250348871679361,0.05968687367184027
2.25,0.6201900498920124,0.12339586496211166
2.5,0.6232884331240555,0.061417841410113555
2.75,0.5094846746740707,0.11431177227642766
3.0,0.4393252313424033,0.11041513918045393
3.25,0.3588378707083617,0.13022106822362423
3.5,0.3138790279850037,0.09782861798389943
3.75,0.2205207800004091,0.0847713462749486

